Experiment,P0 Win %,P1 Win %,Avg Time (ms)
"MCTS(500) vs MCTS(100) on [1, 2]",100.0,  0.0,  0.42 
"MCTS(500) vs MCTS(250) on [1, 2]",100.0,  0.0,  0.37 
"MCTS(500) vs MCTS(500) on [1, 2]",100.0,  0.0,  0.46 
"MCTS(500) vs MCTS(0) on [1, 2]",100.0,  0.0,  0.28 
"MCTS(0) vs MCTS(500) on [1, 2]", 43.1, 56.9,  0.09 
"MCTS(500) vs MCTS(5000) on [1, 2]",100.0,  0.0,  1.69 
"MCTS(500) vs MCTS(100) on [1, 3, 5, 7]", 45.9, 54.1,  2.59 
"MCTS(500) vs MCTS(250) on [1, 3, 5, 7]", 53.0, 47.0,  3.21 
"MCTS(500) vs MCTS(500) on [1, 3, 5, 7]", 55.8, 44.2,  4.70 
"MCTS(500) vs MCTS(0) on [1, 3, 5, 7]", 74.2, 25.8,  2.38 
"MCTS(0) vs MCTS(500) on [1, 3, 5, 7]", 33.1, 66.9,  1.71 
"MCTS(500) vs MCTS(5000) on [1, 3, 5, 7]", 28.8, 71.2, 10.35 
"MCTS(500) vs MCTS(100) on [2, 2, 2, 2]", 10.0, 90.0,  1.56 
"MCTS(500) vs MCTS(250) on [2, 2, 2, 2]",  1.3, 98.7,  1.78 
"MCTS(500) vs MCTS(500) on [2, 2, 2, 2]",  0.0,100.0,  2.11 
"MCTS(500) vs MCTS(0) on [2, 2, 2, 2]", 60.2, 39.8,  1.32 
"MCTS(0) vs MCTS(500) on [2, 2, 2, 2]", 13.5, 86.5,  0.82 
"MCTS(500) vs MCTS(5000) on [2, 2, 2, 2]",  0.0,100.0,  7.96 
"MCTS(500) vs MCTS(100) on [3, 4, 5]", 77.0, 23.0,  1.46 
"MCTS(500) vs MCTS(250) on [3, 4, 5]", 82.0, 18.0,  1.70 
"MCTS(500) vs MCTS(500) on [3, 4, 5]", 72.1, 27.9,  1.87 
"MCTS(500) vs MCTS(0) on [3, 4, 5]", 69.0, 31.0,  1.26 
"MCTS(0) vs MCTS(500) on [3, 4, 5]", 32.8, 67.2,  0.67 
"MCTS(500) vs MCTS(5000) on [3, 4, 5]", 71.2, 28.8,  6.01 
"MCTS(500) vs MCTS(100) on [5, 5, 5]", 52.6, 47.4,  1.92 
"MCTS(500) vs MCTS(250) on [5, 5, 5]", 65.6, 34.4,  2.22 
"MCTS(500) vs MCTS(500) on [5, 5, 5]", 52.0, 48.0,  2.69 
"MCTS(500) vs MCTS(0) on [5, 5, 5]", 67.0, 33.0,  1.70 
"MCTS(0) vs MCTS(500) on [5, 5, 5]", 31.1, 68.9,  1.00 
"MCTS(500) vs MCTS(5000) on [5, 5, 5]", 40.6, 59.4,  7.77 
"MCTS(500) vs MCTS(100) on [1, 3, 5, 7]", 44.8, 55.2,  2.63 
"MCTS(500) vs MCTS(250) on [1, 3, 5, 7]", 55.1, 44.9,  3.28 
"MCTS(500) vs MCTS(500) on [1, 3, 5, 7]", 56.6, 43.4,  4.41 
"MCTS(500) vs MCTS(0) on [1, 3, 5, 7]", 70.1, 29.9,  2.40 
"MCTS(0) vs MCTS(500) on [1, 3, 5, 7]", 29.0, 71.0,  1.94 
"MCTS(500) vs MCTS(5000) on [1, 3, 5, 7]", 27.9, 72.1, 10.45 
