ArraySize,Cutoff,AvgTime(ms)
500000,1000,32.1
500000,2000,15.1
500000,3000,13.9
500000,4000,13.9
500000,5000,14.2
500000,6000,13.5
500000,7000,14.4
500000,8000,14.1
500000,9000,13.7
500000,10000,13.3
500000,11000,15.0
500000,12000,14.1
500000,13000,13.3
500000,14000,13.5
500000,15000,13.9
500000,16000,14.2
500000,17000,13.5
500000,18000,13.6
500000,19000,13.6
500000,20000,13.4
500000,21000,13.3
500000,22000,13.4
500000,23000,13.4
500000,24000,13.3
500000,25000,13.4
500000,26000,13.5
500000,27000,13.3
500000,28000,13.6
500000,29000,13.3
500000,30000,13.3
500000,31000,13.4
500000,32000,13.4
500000,33000,13.5
500000,34000,13.4
500000,35000,13.4
500000,36000,13.3
500000,37000,13.4
500000,38000,13.5
500000,39000,13.5
500000,40000,13.5
500000,41000,13.4
500000,42000,13.6
500000,43000,16.3
500000,44000,13.4
500000,45000,13.4
500000,46000,13.3
500000,47000,13.4
500000,48000,13.7
500000,49000,13.5
500000,50000,13.3
1000000,1000,27.0
1000000,2000,27.0
1000000,3000,26.9
1000000,4000,27.3
1000000,5000,27.3
1000000,6000,26.9
1000000,7000,30.3
1000000,8000,26.8
1000000,9000,27.3
1000000,10000,27.1
1000000,11000,35.4
1000000,12000,46.4
1000000,13000,28.3
1000000,14000,27.1
1000000,15000,26.9
1000000,16000,26.9
1000000,17000,26.8
1000000,18000,26.6
1000000,19000,27.0
1000000,20000,37.3
1000000,21000,44.6
1000000,22000,37.7
1000000,23000,26.9
1000000,24000,26.9
1000000,25000,26.6
1000000,26000,27.2
1000000,27000,26.8
1000000,28000,27.1
1000000,29000,27.0
1000000,30000,27.0
1000000,31000,27.0
1000000,32000,26.7
1000000,33000,27.0
1000000,34000,26.4
1000000,35000,26.9
1000000,36000,26.9
1000000,37000,27.3
1000000,38000,27.0
1000000,39000,26.7
1000000,40000,26.9
1000000,41000,27.3
1000000,42000,26.8
1000000,43000,26.8
1000000,44000,26.8
1000000,45000,26.8
1000000,46000,27.1
1000000,47000,26.5
1000000,48000,26.6
1000000,49000,26.9
1000000,50000,26.6
2000000,1000,55.6
2000000,2000,55.1
2000000,3000,55.1
2000000,4000,54.6
2000000,5000,55.2
2000000,6000,55.0
2000000,7000,56.2
2000000,8000,54.4
2000000,9000,54.9
2000000,10000,55.0
2000000,11000,55.4
2000000,12000,54.7
2000000,13000,56.5
2000000,14000,54.9
2000000,15000,55.0
2000000,16000,55.0
2000000,17000,57.3
2000000,18000,55.1
2000000,19000,56.3
2000000,20000,55.3
2000000,21000,54.8
2000000,22000,55.0
2000000,23000,55.1
2000000,24000,55.6
2000000,25000,54.9
2000000,26000,54.8
2000000,27000,54.9
2000000,28000,54.9
2000000,29000,55.0
2000000,30000,55.2
2000000,31000,54.9
2000000,32000,55.0
2000000,33000,54.9
2000000,34000,54.8
2000000,35000,56.8
2000000,36000,55.1
2000000,37000,54.9
2000000,38000,54.9
2000000,39000,56.1
2000000,40000,56.9
2000000,41000,55.5
2000000,42000,55.3
2000000,43000,54.6
2000000,44000,55.3
2000000,45000,56.3
2000000,46000,55.4
2000000,47000,54.8
2000000,48000,54.9
2000000,49000,55.2
2000000,50000,55.7
5000000,1000,142.4
5000000,2000,141.8
5000000,3000,142.1
5000000,4000,142.8
5000000,5000,142.1
5000000,6000,142.3
5000000,7000,144.7
5000000,8000,142.4
5000000,9000,142.6
5000000,10000,142.6
5000000,11000,142.7
5000000,12000,140.7
5000000,13000,142.4
5000000,14000,142.0
5000000,15000,142.1
5000000,16000,142.5
5000000,17000,152.0
5000000,18000,142.1
5000000,19000,142.2
5000000,20000,141.8
5000000,21000,142.3
5000000,22000,146.6
5000000,23000,144.7
5000000,24000,150.5
5000000,25000,157.1
5000000,26000,145.1
5000000,27000,152.9
5000000,28000,143.4
5000000,29000,144.8
5000000,30000,144.4
5000000,31000,144.3
5000000,32000,146.1
5000000,33000,143.3
5000000,34000,147.8
5000000,35000,142.4
5000000,36000,143.4
5000000,37000,145.2
5000000,38000,144.6
5000000,39000,200.2
5000000,40000,147.2
5000000,41000,154.0
5000000,42000,146.2
5000000,43000,147.3
5000000,44000,150.8
5000000,45000,146.8
5000000,46000,148.4
5000000,47000,144.6
5000000,48000,143.6
5000000,49000,141.9
5000000,50000,146.0
